tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970636603711246748',"President Trump is using the Department of Justice not to uphold the law, but to punish his political enemies. https://t.co/A1rHfV04t4",en,Tweet,0,19,3,6,927,2025-09-24 00:49:13,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1970636552310083584/vid/avc1/426x240/J6k9Jm3ELQJV1Fpi.mp4?tag=16
'1970574902248824935',Acetaminophen does not cause autism.,en,Tweet,1,29,5,10,1309,2025-09-23 20:44:02,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1970546408617861201',"For months and months, Republicans have known they needed Democratic votes to keep the government open and refused to negotiate on saving discounted health insurance for millions of Americans.

And now on the eve of the shutdown President Trump is again refusing to negotiate.",en,Tweet,0,6,3,6,1171,2025-09-23 18:50:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970534901666480633',"I've joined @SenJeffMerkley and my colleagues to introduce a resolution calling on the U.S. to recognize a Palestinian State alongside a secure Israel. 

A two-state solution is the best path towards peace and security for both Israel and Palestine. https://t.co/vculEMH7eP",en,Tweet,0,20,2,4,774,2025-09-23 18:05:05,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,https://www.welch.senate.gov/wp-content/uploads/2025/09/Welch-Two-State-Solution.pdf,,
'1970491377847775344',"Secretary Kennedy replaced our top vaccine advisory panel with vaccine skeptics, many of them with no relevant experience.

Last week, the panel didn't understand what they were voting on, then opposed coverage of a key shot for kids under four. It's a disaster for our health.",en,Tweet,0,12,3,2,853,2025-09-23 15:12:09,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1970477764567343226',"Here's what's at stake in these budget negotiations. If Republicans refuse to extend discounted Affordable Care Act premiums, millions of people around the country will be forced to pay more for their health insurance every month.

Alabama: 204,000 people
Alaska: 23,000 people
Arizona: 309,000 people
Arkansas: 145,000 people
California: 1,554,000 people
Colorado: 183,000 people
Connecticut: 112,000 people
Delaware: 40,000 people
District of Columbia: 3,000 people
Florida: 4,097,000 people
Georgia: 1,247,000 people
Hawaii: 18,000 people
Idaho: 90,000 people
Illinois: 356,000 people
Indiana: 263,000 people
Iowa: 100,000 people
Kansas: 160,000 people
Kentucky: 63,000 people
Louisiana: 204,000 people
Maine: 52,000 people
Maryland: 164,000 people
Massachusetts: 250,000 people
Michigan: 374,000 people
Minnesota: 78,000 people
Mississippi: 281,000 people
Missouri: 338,000 people
Montana: 58,000 people
Nebraska: 112,000 people
Nevada: 85,000 people
New Hampshire: 47,000 people
New Jersey : 352,000 people
New Mexico: 46,000 people
New York: 206,000 people
North Carolina: 980,000 people
North Dakota: 34,000 people
Ohio: 427,000 people
Oklahoma: 267,000 people
Oregon: 118,000 people
Pennsylvania: 378,000 people
Rhode Island: 31,000 people
South Carolina: 547,000 people
South Dakota: 50,000 people
Tennessee: 526,000 people
Texas: 3,357,000 people
Utah: 350,000 people
Vermont: 27,000 people
Virginia: 350,000 people
Washington: 195,000 people
West Virginia: 49,000 people
Wisconsin: 236,000 people
Wyoming: 40,000 people",en,Tweet,0,13,8,5,1083,2025-09-23 14:18:03,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1970272653295464663',"To recap, in the past week, President Trump has:

-Coerced a TV network to pull Jimmy Kimmel's show.
-Forced a U.S. attorney to resign under pressure to charge New York A.G. Letitia James.
-Suggested the FCC will remove broadcast rights from those who air negative coverage.",en,Tweet,0,27,9,10,1405,2025-09-23 00:43:01,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1970256044153573621',"L’shanah Tovah to Jewish communities in Vermont and around the world celebrating Rosh Hashanah this evening!

Margaret and I wish you all a good and sweet new year.",en,Tweet,0,10,1,0,664,2025-09-22 23:37:01,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1970238539179634862',I met with Palestinian Ambassador Riyad Mansour at the U.N. General Assembly to express my support for a two-state solution and the important progress made by President Macron to bring peace to Israel and Palestine. https://t.co/cFMeFJvknF,en,Tweet,0,13,0,3,924,2025-09-22 22:27:27,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/G1exfkZWAAAfnYm.jpg
'1970129754217926816',"On Saturday, September 27, the Women’s Economic Opportunity Conference will close with an engaging panel on personal money management throughout your career.

Get your free ticket to learn from expert panelists and workshop hosts today!
https://t.co/AaVrYOooQS https://t.co/rCJsgvGxy8",en,Tweet,0,0,0,2,713,2025-09-22 15:15:11,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,https://www.eventbrite.com/e/2025-womens-economic-opportunity-conference-tickets-1617492757379?aff=closingpanelsm,photo,https://pbs.twimg.com/media/G1dOjeIXsAASH-G.jpg
'1969966635487281401',"Democracy doesn’t crumble in one fell swoop.

It happens when checks and balances are abandoned. It happens when free speech is punished. It happens when the press is intimidated.

Republicans are allowing President Trump to set us on a dangerous course towards authoritarianism.",en,Tweet,0,23,9,9,1907,2025-09-22 04:27:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1969427622422597843',"WEOC 2025 is one week away!

RSVP for free today while tickets last.
https://t.co/E0EW9T70rd https://t.co/uVs1kxWyoW",en,Tweet,0,1,0,3,690,2025-09-20 16:45:10,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,https://www.eventbrite.com/e/2025-womens-economic-opportunity-conference-tickets-1617492757379?aff=weoc1weeksm,photo,https://pbs.twimg.com/media/G1TP9_9WoAE9Z0L.jpg
'1969405942656553239',"The nonpartisan Congressional Budget Office estimates that 2.2 million people will lose health care next year—and millions more each year after—if Congress doesn’t extend ACA premium discounts.

Congress needs to work together so folks in red states and blue states stay healthy.",en,Tweet,1,9,4,9,860,2025-09-20 15:19:01,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1969168252564619774',"We can’t allow our government to revoke someone’s legal status for exercising their freedom of speech.

The Trump Administration’s targeting of Mahmoud Khalil is unconstitutional and needs to end.",en,Tweet,23,782,188,234,62155,2025-09-19 23:34:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969164350507118839',"Since 1980, @NOAA  has tracked the frequency of billion-dollar climate disasters in our communities. But earlier this year, President Trump axed this critical service.

I’m leading a bill to reverse Trump’s decision to defund the agency's database that helps us become more resilient.",en,Tweet,0,10,2,5,844,2025-09-19 23:19:01,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1969023794875335076',"If Republicans don’t extend ACA tax credits by the end of the year, insurance premiums will skyrocket.

We shouldn’t force folks to choose between paying more or going uninsured. Republicans need to extend program's funding.",en,Tweet,0,21,9,11,2291,2025-09-19 14:00:30,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1968812624025371089',Using food as a weapon is a violation of the Geneva Convention. https://t.co/DsJ0buZWWV,en,Tweet,0,9,4,7,715,2025-09-19 00:01:22,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1968812539208179712/vid/avc1/1080x1920/n0lwy213zKINSLQU.mp4?tag=16
'1968795299079454878',"Whatever you call what is happening in Gaza, one thing is clear: Prime Minister Netanyahu’s war campaign must end. https://t.co/jWEYgd5Luk",en,Tweet,5,162,51,34,9082,2025-09-18 22:52:32,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1968795172545736704/vid/avc1/1080x1920/3_X0kH5cpRT29yiL.mp4?tag=16
'1968782170912182349',"His FCC Chairman coerces ABC to pull Jimmy Kimmel's show.
He sues news outlets that publish inconvenient truths. 
He bans reporters who ask him tough questions.  
He deports students protesting his policies.

President Trump is waging an all-out war on free speech.",en,Tweet,0,62,24,72,2576,2025-09-18 22:00:22,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1968773526019608859',"This government funding package will be one of the last opportunities to extend tax credits for affordable health care before they expire.

Republicans will force millions of Americans to pay hundreds and even thousands of dollars more every year if they don't extend them.",en,Tweet,0,5,1,3,603,2025-09-18 21:26:01,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1968750890421985745',"This week, I’m joining @SenTimKaine  to introduce a resolution to block President Trump’s tariffs on Canada.

Small businesses and farmers shouldn’t suffer because Trump wants to start a trade war with our allies.",en,Tweet,0,23,7,5,1249,2025-09-18 19:56:04,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1968649858425782557',The suffering in Gaza just keeps getting worse. https://t.co/MOyhPLnIWu,en,Tweet,1,20,4,3,884,2025-09-18 13:14:36,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1968649710408790016/vid/avc1/720x1280/_inDWoKLxIXcA1t_.mp4?tag=16
'1968458881115263120',"Four months ago, I stood on the Senate Floor and held up a picture of Jinan Iskafi, a child who died because the formula she needed was blocked from entering Gaza by the Israeli military.

Since then, things have gotten worse. https://t.co/EM7c2ijENz",en,Tweet,0,22,11,4,1623,2025-09-18 00:35:44,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1968458711992606723/vid/avc1/1920x1080/5SPkQNFvYzUHkyFz.mp4?tag=16
'1968430168680075432',I’m with my colleagues on the Senate floor calling on Republicans to protect health care for Americans before time runs out.  https://t.co/ZPHGUiMHHM,en,Tweet,2,48,16,35,5066,2025-09-17 22:41:38,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,https://x.com/i/broadcasts/1lPKqvPemAdGb,,
'1968373629776769270',Live on the Senate Floor. https://t.co/vjrR9xZdhX,en,Tweet,2,6,7,5,947,2025-09-17 18:56:58,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,https://x.com/i/broadcasts/1ypJdqWvkMYxW,,
'1968350501600391172',"“Gaza is burning” are horrifying words.

A new offensive will lead to more civilian deaths and risk the lives of the hostages.

The U.S. must end weapon sales to Prime Minister Netanyahu.",en,Tweet,2,15,6,8,1997,2025-09-17 17:25:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968125755285516699',"The Federal Reserve is supposed to make choices based on what's best for our economy, not politics.

But Republicans confirmed President Trump's economic advisor to the Board—even though he’s refused to resign from his White House job.

It violates of the Board's independence.",en,Tweet,1,58,27,21,2546,2025-09-17 02:32:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
