tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970103060270571979',📲 https://t.co/tCJlh3c9mj,qme,Reply,1,70,8,15,6775,2025-09-22 13:29:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.wsj.com/opinion/ron-johnson-my-plan-to-end-government-shutdowns-forever-07519dc5,,
'1970103054524694932',"The Eliminate Shutdowns Act would end the drama and turmoil of annual funding fights.

Read more about this proposal in my Wall Street Journal op-ed ⬇️ https://t.co/4NtyIekTYZ",en,Tweet,15,470,89,87,182954,2025-09-22 13:29:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1c2RlyW8AAyk14.jpg
'1969031320115224938',The passage of the Senate resolution honoring Charlie Kirk is a fitting tribute to a man who championed free speech and civil debate — core values of our Republic that he fought and died for.,en,Tweet,11,780,152,80,27168,2025-09-19 14:30:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968360490222108707',Couldn’t agree with Dr. Hazan and Dr./Senator Paul more.,en,Tweet,100,2561,513,127,136352,2025-09-17 18:04:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968129135827620145',"Here is a link to the Henry Ford Health System study that I entered into the record at my PSI hearing last Tuesday.

You can view it here⬇️ 
https://t.co/AzaHxDiKkp",en,Tweet,792,2328,813,108,160555,2025-09-17 02:45:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.hsgac.senate.gov/wp-content/uploads/Entered-into-hearing-record-Impact-of-Childhood-Vaccination-on-Short-and-Long-Term-Chronic-Health-Outcomes-in-Children-A-Birth-Cohort-Study.pdf,,
'1967997254041735648',"It shouldn’t have taken a whistleblower to turn these documents over to the Congress. 

The @FBI should’ve turned these over to us years ago.",en,Tweet,14,819,230,41,24584,2025-09-16 18:01:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967980295883563057',"We truly don’t appreciate what we’ve got ‘til it’s gone. Charlie Kirk will be sorely missed, but his legacy will carry on.",en,Tweet,15,968,132,47,19530,2025-09-16 16:54:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967749946876280872',"Extending the “temporary COVID” enhanced Obamacare subsidies would perpetuate fraudulent activity, sending billions of dollars to insurance companies for policies that people are unaware they’re enrolled in and do not use.",en,Tweet,83,6784,3151,712,147097,2025-09-16 01:38:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967646172933394574',"Join me TODAY at 2:00pm CT/3:00pm ET for a teletownhall. I’ll be on the phone talking with constituents and addressing your concerns. 

Listen in and ask questions at the link below⬇️
https://t.co/Mx6EXnAIcS",en,Tweet,3,56,10,17,6465,2025-09-15 18:46:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://video.teleforumonline.com/video/streaming.php?client=16458,,
'1966459868807671906',"VAERS, V-safe, and now Rasmussen again. These safety signals may not prove causation, but they should spark far greater concern. 

Many Americans believe COVID shots are killing people. When will the medical establishment start listening?",en,Tweet,67,1322,344,149,118748,2025-09-12 12:12:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966320687330766986',A fitting and proper tribute. Truly appreciate them doing so.,en,Tweet,14,1674,164,52,35817,2025-09-12 02:59:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966217401021902964',"I just had a great call with @POTUS who approved Wisconsin’s request for flood disaster relief. Thank you to President Trump for continuing to deliver BIG TIME for Wisconsinites. Also, thank you to @RepBryanSteil and @RepFitzgerald for helping lead the charge to obtain the much-needed federal assistance.",en,Tweet,6,369,49,41,29675,2025-09-11 20:08:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966144432371122452',"As we remember the tragic events of 24 years ago on 9/11 that forever changed our nation and the world, we renew our pledge to never forget and continue to honor the victims and their families.
 
Six years ago, I held a Homeland Security field hearing at the 9/11 Museum in New York City. I encouraged all Americans to visit and be reminded of those we lost. It’s our responsibility to understand the events of that day and preserve this nation for future generations.",en,Tweet,4,275,29,32,17001,2025-09-11 15:18:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966144299843670016/vid/avc1/960x540/CJ8IkNpY0OcG1VYe.mp4?tag=21
'1965879308272152788',Rest in peace.,en,Tweet,20,2678,185,79,61526,2025-09-10 21:45:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965850024476291400',"Please say a prayer for Charlie, his family, and his team.",en,Tweet,17,5444,374,82,134156,2025-09-10 19:49:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965842300971659452',I couldn’t agree more with Congressman Tiffany.,en,Tweet,3,179,28,14,19437,2025-09-10 19:18:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
