tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970633802176184398',"Trump thinks he’s a KING.

He’s NOT a king.

He is the president, and he has the responsibility to work with us to avoid a TRUMP SHUTDOWN.",en,Tweet,105,5631,1094,10797,630273,2025-09-24 00:38:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970614386302533647',"This is going to be Donald Trump's shutdown.

Democrats are ready to work with the president.

We are willing to sit down with him today, tomorrow. We will even come to the golf course and sit down with him. Wherever he wants to go. https://t.co/iIpodBCWBs",en,Tweet,31,1557,517,3109,107039,2025-09-23 23:20:56,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1970613429015609344/vid/avc1/1080x1920/hXjom5wCItD0YoSd.mp4?tag=21
'1970596521121841152',"Trump knows he is going to be blamed for a shutdown. He’s even said so himself.

In the past for a shutdown, TRUMP has said: “I ACTUALLY THINK THE PRESIDENT WOULD BE BLAMED”

He’s right.",en,Tweet,12,907,215,1743,126949,2025-09-23 22:09:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970589855358062633',"Donald Trump can’t even negotiate a budget bill with Democrats.

He’s just not fit for the job.",en,Tweet,41,3168,562,5719,320626,2025-09-23 21:43:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970584312467656964',"We know Donald Trump watches a lot of television, so I want to say this directly to Donald Trump:

Turn off the tv and do your job. https://t.co/b67OLEbfzr",en,Tweet,77,859,248,1447,1091114,2025-09-23 21:21:26,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1970583380426207232/vid/avc1/1080x1920/dNyuInflbja4mTrR.mp4?tag=21
'1970578559132487773',"Once again, Trump has shown the American people he’s not up to the job.

Faced with the simple duty of sitting down to keep the government open, Trump RUNS AWAY before the talks even BEGIN.",en,Tweet,13,765,198,1223,47705,2025-09-23 20:58:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970573960153633267',"Today seems to be tantrum day for Donald Trump:

First ranting about Democrats and backing out of our meeting

And then embarrassing America at the UN",en,Tweet,16,2113,449,1306,64733,2025-09-23 20:40:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970532706887868623',"Trump in 2013 on how to avoid a shutdown: “You have to get everyone in a room. You have to be a leader.”

Trump today: Cancels meeting with Democratic Leaders. https://t.co/W4Hip47HN6",en,Tweet,410,10739,3006,1763,322491,2025-09-23 17:56:22,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1970531836255195136/vid/avc1/1280x720/VU5MX-yJJjag8B_7.mp4?tag=21
'1970499289085612101',"Happy New Year, Mr. President.

When you’re finished ranting, we can sit down and discuss health care. https://t.co/MYcuS9BOjt",en,Tweet,47,2612,516,2234,166129,2025-09-23 15:43:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1ieqM3WIAAHGSm.jpg
'1970251605489688897',"Wishing all who celebrate a Shana Tova u’Metuka—have a happy and sweet New Year! As we celebrate the Rosh Hashanah, may this new year bring joy and renewal.",en,Tweet,8,175,34,203,25637,2025-09-22 23:19:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970223547852431755',"This is big: Jimmy Kimmel is coming back!

This is about fighting for free speech and against these abuses by Donald Trump and Brendan Carr.",en,Tweet,37,2307,390,3594,220071,2025-09-22 21:27:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970211588687716486',"NEWS: Revolution Wind just won a preliminary injunction against the Trump administration, allowing them to continue construction while the lawsuit progresses.

We will not stop fighting to bring renewable sources onto the grid to decrease your energy costs while putting thousands of Americans to work.",en,Tweet,11,439,142,809,51048,2025-09-22 20:40:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969811663315677567',"With Trump, the American people’s costs are going up, his tariffs, their electric bills, the decimation of health care.

The American people want change, but the Republican bill is the status quo.

And Trump is ready to shut down the government over it.",en,Tweet,10,827,271,1848,54224,2025-09-21 18:11:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969475278431748481',👀,art,Tweet,11,322,92,592,57489,2025-09-20 19:54:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
