tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970582694401573175',"When I was a fair housing attorney, I saw the crucial role fair housing laws played in protecting folks from discrimination when buying or renting. But the Trump Administration isn’t upholding these protections, leaving veterans, single moms, and millions of others vulnerable. https://t.co/4o1avHpO84",en,Tweet,1,7,1,6,591,2025-09-23 21:15:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1jqXu-X0AEbN91.jpg
'1970567433640648933',My statement with @MarkWarner after President Trump canceled a meeting with Democratic leadership on government funding: https://t.co/nDW7lXpI75,en,Tweet,7,189,99,387,9686,2025-09-23 20:14:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1jcnrLXkAA2TjW.jpg
'1970538734920864017',"Reality check: Untreated fevers in pregnant moms can lead to risks to both mom and baby. No evidence suggests a causal relationship between Tylenol usage and autism.

This is a dangerous attempt to distract Americans from RFK Jr.’s incompetence and Trump's health care cuts.",en,Tweet,0,26,5,5,1095,2025-09-23 18:20:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970504449077448793',"First he imposed tariffs on Brazil, raising costs for Americans. Then he sanctioned the judge who oversaw Bolsonaro’s prosecution. Now he’s sanctioning the judge’s wife? This is a blatant abuse of power. Trump cares more about helping his friend than helping the American people.",en,Tweet,2,22,5,3,1059,2025-09-23 16:04:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970489352711999964',"First, President Trump failed to lower grocery prices like he promised. Then, he slashed food stamp funding, yanking critical support away from 78,000 people in Virginia alone.

No wonder he doesn't want to track hunger in America.",en,Tweet,0,17,9,4,1220,2025-09-23 15:04:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970232146221769161',"As Rosh Hashanah begins tonight, I’m wishing our Jewish community in Virginia and beyond a safe, healthy, and meaningful new year. Shana Tova! https://t.co/DbtHKeDyCX",en,Tweet,0,12,2,2,628,2025-09-22 22:02:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1erVMsWYAAbyH7.jpg
'1969871520785981728',"Trump and congressional Republicans created a health care crisis: families are facing skyrocketing premiums, and hundreds of rural hospitals face the risk of closure. 

What did Republicans do in response? They voted down legislation to fix the problem. Unbelievable.",en,Tweet,0,28,10,26,1220,2025-09-21 22:09:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969856235559420274',Did you know that today is National Wife Appreciation Day? Anne—you make every day brighter! https://t.co/F6ahGtelV5,en,Tweet,2,162,20,56,10211,2025-09-21 21:08:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ZTzh_WkAAHOkm.jpg
'1969841062450430075',"ICYMI: Republicans voted down legislation to keep the government from shutting down and protect Americans’ access to health care. Republicans have control of the White House, the Senate, and the House. They’re failing to lead, and Americans will suffer as a result.",en,Tweet,4,439,179,367,7243,2025-09-21 20:08:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969515182364696612',"Virginians want more access to affordable health care, not less. But yesterday Republicans voted to punish the American people with legislation that will cause premiums to soar.",en,Tweet,0,31,8,29,1217,2025-09-20 22:33:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
