tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970579140194742482',My office is accepting applications for service academy nominations until November 1st. Learn about eligibility and other requirements here: https://t.co/8K7dD2mCCx,en,Tweet,2,65,11,77,20119,2025-09-23 21:00:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.cotton.senate.gov/help/academy-nominations,,
'1970536311112245646',"For four years under Joe Biden, illegal immigrants flooded our southern border. President Trump and his team are sending them home and making Americans safer. 

We didn’t need new immigration laws, we needed a new President. https://t.co/N0jHeo48zD",en,Tweet,8,220,33,60,13273,2025-09-23 18:10:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.washingtonexaminer.com/news/3819612/homan-says-approximately-two-million-illegal-aliens-out-of-u-s/,,
'1970522314363035934',"Today President Trump made clear what peace through strength means. 

A nuclear Iran directly threatens the security of our homeland and we must ensure that they never obtain a nuclear weapon.",en,Tweet,7,452,78,110,18034,2025-09-23 17:15:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970503966753702121',"Recognizing “Palestine” is a transparent attempt to appease Islamists in Europe, and it will only make peace less likely. 

We should continue backing Israel in its just war against Hamas to free the hostages. https://t.co/unZ18sIdpU",en,Tweet,230,5989,898,2943,3652799,2025-09-23 16:02:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://washingtonreporter.news/p/exclusive-lawmakers-blast-historic,,
'1970487967975100926',"While Democrat mayors and governors tolerate crime and protect criminals, President Trump is stepping up to protect law-abiding Americans. https://t.co/ksjVRGlZN5",en,Tweet,1,135,16,40,7769,2025-09-23 14:58:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.foxnews.com/opinion/sean-duffy-trumps-crime-crackdown-giving-democratic-leaders-blueprint-follow,,
'1970481882178433430',"Al Jazeera is not a news organization, it’s a mouthpiece for Hamas. 

American AI companies shouldn’t rely on terrorist-sympathizing networks as a trusted source. https://t.co/NvgJyhi6EP",en,Tweet,74,3033,629,1133,243650,2025-09-23 14:34:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://freebeacon.com/israel/reliable-al-jazeera-is-top-source-for-openai-and-google-powered-ai-news-summaries-on-israel-and-gaza-hamas-tied-qatars-news-outlet-dominates-ai-search-results/,,
'1970249750399328587',Thank you @AGTimGriffin for supporting the effort to keep contraband cell phones out of prisons.,en,Tweet,1,110,20,29,19680,2025-09-22 23:12:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970168110507262429',"The H-1B visa program has been abused and exploited for years at the expense of American workers. 

I look forward to working with the Trump Administration to close additional loopholes and continue putting American workers first.",en,Tweet,146,6807,860,1091,250977,2025-09-22 17:47:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969137631242891270',I’m pleased to see President Trump continue to put American workers first.,en,Tweet,3,478,57,135,28894,2025-09-19 21:32:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969109273872384499',"Thank you President Trump and @SecRollins for delivering this win for Arkansas farmers! 

Taiwan continues to be a great friend and partner of the United States.",en,Tweet,2,323,67,83,21597,2025-09-19 19:40:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968785832606564658',Iran’s terrorist regime chants “death to America” and has the blood of thousands of Americans on its hands. The leaders of this evil regime have no business setting foot on U.S. soil.,en,Tweet,29,1452,314,413,108152,2025-09-18 22:14:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968774633018015899',"Ending our dependence on Communist China for critical minerals is a national security priority. I’m proud to join @TimSheehyMT's effort to secure and produce critical minerals inside the United States. 
https://t.co/p39RAcJ09a",en,Tweet,6,154,29,55,9445,2025-09-18 21:30:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.cotton.senate.gov/news/press-releases/cotton-sheehy-colleagues-introduce-bill-to-secure-us-critical-mineral-dominance,,
'1968674576390328521',Thank you Shiloh Christian School for stopping by. I’m always glad to see Arkansans in DC! https://t.co/cW9R8trUCV,en,Tweet,3,217,23,55,11692,2025-09-18 14:52:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1IjDnlXEAE2G1X.jpg,https://pbs.twimg.com/media/G1IjDndW8AIyNlM.jpg"
'1968665173255696873',It was great to meet with @WWP yesterday. I’m thankful for all the work they do to help disabled veterans! https://t.co/vN8f7rG8cV,en,Tweet,1,85,3,27,8418,2025-09-18 14:15:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1IagVIXoAAd53S.jpg,https://pbs.twimg.com/media/G1IagVEW8AAobYp.jpg"
'1968444209548984414',Nonprofits that receive tax breaks should be completely free from malign foreign influence. Organizations influenced by adversarial foreign nationals should have their tax-exempt status revoked. https://t.co/M81EWNglsM,en,Tweet,0,180,32,93,10906,2025-09-17 23:37:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.cotton.senate.gov/news/press-releases/cotton-introduces-bill-to-ban-certain-foreign-nationals-from-nonprofit-boards,,
'1968390744714195348',"The United States has zero business supporting the Palestinian Authority, which pays terrorists to kill American civilians in Israel. https://t.co/39TNjBWr7O",en,Tweet,29,1787,292,417,128234,2025-09-17 20:04:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.axios.com/2025/09/17/trump-palestinian-west-bank-israel-democrats-warren,,
'1968328425095270797',I’m glad the St. Francis Levee District of Arkansas stopped by yesterday! I’m thankful for the work they do to keep Arkansans safe from devastating floods. https://t.co/9CEqIF4PL5,en,Tweet,1,74,7,30,7553,2025-09-17 15:57:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1DoOxyWQAAKKJd.jpg,https://pbs.twimg.com/media/G1DoOxsXUAAyu2u.jpg"
'1968310138839683432',It was great to see @butterball and @natlturkeyfed in DC earlier this week to discuss agriculture and trade priorities.,en,Tweet,2,81,15,22,8624,2025-09-17 14:44:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1DXW-jWMAADxt9.jpg,https://pbs.twimg.com/media/G1DXW-UWsAAcyC3.jpg"
'1968303048792687102',I’m glad I was able to meet with @ArkansasRTs. Thank you for all that you do to improve respiratory therapy throughout the state! https://t.co/NURLk1roc9,en,Tweet,1,124,16,32,9465,2025-09-17 14:16:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1DRJhgW0AAX4_J.jpg
'1968065145973915841',Thanks to @ArkBankers for stopping by! It was great to talk about all the issues affecting bankers back in the state. https://t.co/EVCyLYohLz,en,Tweet,2,93,19,49,12185,2025-09-16 22:31:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0_4t53XgAAzFer.jpg,https://pbs.twimg.com/media/G0_4t5yWMAAcaxS.jpg"
'1968014404819226782',"Political violence is always wrong. 

Recently, it’s also almost exclusively left-wing violence. It’s time for the left to address this problem.",en,Tweet,6,275,53,141,31808,2025-09-16 19:09:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967967981105037645',"The decision by @SecRubio and President Trump to update our drone export policies will benefit American workers and businesses, while not ceding the global market to China. 

Congress should pass my LEAD Act and codify this change into law for good.",en,Tweet,4,84,14,12,13358,2025-09-16 16:05:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967946061852647728',Hamas has terrorized Israel and the Middle East for far too long. We should let our Israeli allies win the war in Gaza and to totally and completely destroy Hamas. https://t.co/TbFpw7kEdw,en,Tweet,55,2733,356,1590,93845,2025-09-16 14:37:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967945873863725056/vid/avc1/1280x720/dBGBdtHgQUaxGXAu.mp4?tag=21
'1967728275100434796',Thank you President Trump and @SecWar for using overwhelming military force to target narco-terrorists who threaten our nation.,en,Tweet,7,677,88,124,22940,2025-09-16 00:12:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967705452130767347',Thank you A-Team USA for all the work you do advocating for disability employment rights. I’m proud to work together to ensure disabled Arkansans have the chance to secure meaningful employment opportunities. https://t.co/4TNkSsyzGM,en,Tweet,3,81,11,24,18946,2025-09-15 22:41:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.youtube.com/watch?v=iwRG9X7Nbog,,
'1967584044348211425',Thank you Pride Industries for all the work you do on behalf of disabled Arkansans. It was great to see you in DC! https://t.co/iYION12FtP,en,Tweet,2,150,22,27,13394,2025-09-15 14:39:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G05DOF9XwAAQD0R.jpg,https://pbs.twimg.com/media/G05DOGDWsAAFAfJ.jpg,https://pbs.twimg.com/media/G05DOGAWAAAXWE7.jpg"
'1967576046527488380',It’s always great to hear from Arkansas farmers! I’m glad I was able to meet with the National Farmers Union to discuss all the work they are doing on behalf of farmers.,en,Tweet,2,169,23,36,14703,2025-09-15 14:07:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0475lgXUAAnYt4.jpg,https://pbs.twimg.com/media/G0475kjW8AAWmEr.jpg"
'1966531926543524240',"I'm grateful that law enforcement has apprehended the the suspect charged with assassinating Charlie Kirk. 

We continue to pray for the Kirks and I echo President Trump's call for swift justice in this horrific murder.",en,Tweet,5,414,46,154,15625,2025-09-12 16:58:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966526197522661713',It was great to see Veterans of Foreign Wars in DC earlier this week! Thank you for all you do for our veterans. https://t.co/P4amMo2pWW,en,Tweet,2,134,25,33,12229,2025-09-12 16:35:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0qBJbGWgAEkQ-r.jpg
