tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970505534777565324',"It's Fall, Colorado! 🍂

As the leaves change and temperatures cool, now is one of the best times to explore the beautiful landscapes our state has to offer.

I hope everyone finds time to get outside and enjoy the season. https://t.co/TNuyVJBRe9",en,Tweet,0,41,5,10,2194,2025-09-23 16:08:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ikSl6WYAIgGBt.jpg
'1970154441127993757',"As grocery prices rise and Republicans’ cuts to food assistance drive more families into food insecurity, President Trump wants to disguise these devastating effects from the public.

This report is critical to our fight against hunger in America, and Trump has abandoned it just as he’s abandoned working families.",en,Tweet,2,24,8,25,6035,2025-09-22 16:53:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969806197189452177',"Congratulations to @CUBoulder on being ranked number one for launching startups.
 
Over a decade ago, CU Boulder launched four to six startups annually. In the last year, they launched 35. 

These companies are leading in innovation and creating real-world impacts for Coloradans and the rest of the country.
 
https://t.co/dgvcnbcPKs",en,Tweet,0,21,3,6,2618,2025-09-21 17:49:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969445358859096215',"Ed Dwight is one of Colorado's true living legends. After becoming the first Black astronaut candidate, he continued to be a trailblazer in aviation, art, and science.
 
I will continue pushing for Ed to receive the Congressional Gold Medal and recognition for his accomplishments.
 
https://t.co/EBAhVvA0hL",en,Tweet,1,35,6,15,2925,2025-09-20 17:55:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969099788525121724',https://t.co/d8d2N5iGjO,zxx,Tweet,0,19,4,21,3258,2025-09-19 19:02:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://x.com/i/article/1969099561869180930,,
'1969062833468952737',Read more here: https://t.co/fWmitu6qrX,en,Reply,0,16,4,0,2306,2025-09-19 16:35:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.politico.eu/article/russian-fighter-jets-breach-estonian-airspace-near-tallinn/,,
'1969062831996694681',"Putin’s decision to send fighter jets into the airspace of NATO ally Estonia is a clear escalation, just days after Putin sent drones into the airspace of NATO ally Poland. 

I will continue fighting, including through the national defense bill, to ensure the U.S. remains committed to protecting NATO’s eastern flank.",en,Tweet,0,100,20,21,47827,2025-09-19 16:35:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968808639692521552',"Secretary Kennedy and his hand-selected panel of vaccine conspiracy theorists have altered the vaccine schedule for children based on politics and sham science.

This decision will put the lives and health of countless children in this country at risk from completely preventable diseases.",en,Tweet,3,69,23,81,10298,2025-09-18 23:45:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968785417160855791',"It’s always a pleasure to see familiar faces and catch up with our youngest Coloradans.

I was glad to see Sarah and her daughter at my Steamboat Town Hall last month and hear all about Alden’s first day of school.

They grow up so fast! https://t.co/VgpGDwX61D",en,Tweet,1,14,0,2,2769,2025-09-18 22:13:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1KHi02XIAAhFYJ.png,https://pbs.twimg.com/media/G1KHkBBXkAE5Bsm.png"
'1968722415577362447',"Read more here:
https://t.co/po3Fj9Z6nk",en,Reply,0,0,0,1,1293,2025-09-18 18:02:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://coloradotimesrecorder.com/2025/09/bennet-and-hickenlooper-join-senate-colleagues-to-introduce-bill-to-safeguard-social-security/72895/,,
