tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970629778303561825',Great to visit with friends and neighbors in Franklin County at today’s meet &amp; greet. I appreciated the chance to hear firsthand about what matters most to folks back home as I carry your voices to Washington. https://t.co/aFIcgFcjJ1,en,Tweet,0,26,6,6,2374,2025-09-24 00:22:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1kVVpmXAAAMq0T.jpg,https://pbs.twimg.com/media/G1kVVpqXUAAphBy.jpg,https://pbs.twimg.com/media/G1kVVpqWMAAJuAA.jpg"
'1970611664631263646',"Always good to sit down with locals leaders, this time in Moore County. A special thank you to @JackDaniels_US, a great Tennessee brand and company, for hosting us. Conversations like these ensure we’re always working to strengthen communities across our state. https://t.co/MrK8fc3J4k",en,Tweet,1,24,7,4,2024,2025-09-23 23:10:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1kE3U5WAAAMUN2.jpg,https://pbs.twimg.com/media/G1kE3VXaIAAOpH4.jpg"
'1970574666151637268',Hardworking small businesses like Huff &amp; Puff Trucking keep Tennessee moving. Great to tour this family owned operation in Bradyville today and hear directly about their opportunities and challenges. https://t.co/UIBdOOyV6C,en,Tweet,0,36,3,2,2046,2025-09-23 20:43:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jjNN_WwAEYh9o.jpg,https://pbs.twimg.com/media/G1jjNNtXUAAHCYJ.jpg,https://pbs.twimg.com/media/G1jjNNhWcAEslnG.jpg,https://pbs.twimg.com/media/G1jjNN-XsAAlotg.jpg"
'1970546529288233230',"Recognizing the Palestinian state only further emboldens Hamas to commit acts of terror and destabilize the Middle East. Thankfully, @POTUS has brought back America First principles and is refusing to recognize and reward terrorism. I joined @Varneyco on @FoxBusiness to discuss. https://t.co/c6UBXSojgy",en,Tweet,0,40,8,32,21600,2025-09-23 18:51:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970546048918523905/vid/avc1/1280x720/G9JNRSJlm9nQ1jQu.mp4?tag=21
'1970282231202750555',The rising incidence of autism in America must be addressed. Thank you to @POTUS and @SecKennedy for raising critical questions and seeking appropriate answers. The trajectory of our nation’s health is beyond disturbing. We must Make America Healthy Again.,en,Tweet,13,893,158,47,81478,2025-09-23 01:21:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970242029469999120',"Clarksville is thriving, and it’s thanks to the dedication and vision of the local leaders I met with today.

I was glad to share updates from the past several weeks in Washington and to hear about their ambitious plans to keep driving growth in this remarkable community. The future is bright for Clarksville.",en,Tweet,0,23,3,5,2288,2025-09-22 22:41:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1e0rUEWMAA3ZI5.jpg,https://pbs.twimg.com/media/G1e0rT2XEAAlb8H.jpg,https://pbs.twimg.com/media/G1e0rTyXkAAd9Td.jpg,https://pbs.twimg.com/media/G1e0rTyWsAAxOfm.jpg"
'1970212043593601347',"Great to meet with DENSO Corporation CEO Jack Arima and his team during his visit to my hometown in Nashville. 

DENSO has built an impressive U.S. footprint since 1966, driving innovation, creating jobs, and strengthening the partnership between America and Japan. We’re proud to have them in Tennessee and look forward to see this work continue.",en,Tweet,3,33,7,4,2504,2025-09-22 20:42:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1eZZ-CWgAApoJh.jpg,https://pbs.twimg.com/media/G1eZZ-JWAAAsU10.jpg"
'1970200152184103128',"Tonight, Jewish communities in Tennessee, across America, &amp; around the world will gather to celebrate Rosh Hashanah, the start of the Jewish New Year.

I wish all who are observing a sweet &amp; joyous new year. Shana Tova! https://t.co/GnwrFN4eBS",en,Tweet,1,43,9,3,2624,2025-09-22 19:54:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1eOlejWUAA7LcV.jpg
'1969918302701916414',"As I walked out of Charlie Kirk’s memorial service at State Farm stadium, despite the sadness I’ve felt since Charlie’s assassination, I’m uplifted by the indelible mark he left on our hearts.  The words spoken by his friends, family and President Trump were so meaningful. 

I’m thankful for the inspiration Charlie provided, I see the power of his message growing: touching more hearts and inspiring more young people than ever before. He will live on in the soul of our great nation and this tragedy must be a positive turning point for America and beyond.",en,Tweet,17,743,101,22,23372,2025-09-22 01:14:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1aOQUwXUAAq0ut.jpg
'1969181041639194647',"Today, the Senate voted on two funding bills – one clean and bipartisan, the other partisan and loaded with unrelated agendas.
 
We should pass a clean short term funding bill to keep the lights on and not let Schumer play politics to appease the far Left that forces a government shutdown, which Schumer and Democrats seem to want.

We know this playbook and where it ends. Republicans should not bend or break. 
 
I urge my Democratic colleagues to come to their senses before it’s too late. If a government shutdown happens, it will be Democrats doing.",en,Tweet,1,57,11,23,3773,2025-09-20 00:25:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969153957860647074',Tune in now to hear my conversation with Dr. Arthur Laffer and Cathie Wood!,en,Tweet,1,9,2,7,3743,2025-09-19 22:37:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969143200817250720',"Thnx to @POTUS @realDonaldTrump’s Admin &amp; allies, Security Council today defeated measure to halt automatic snapback of UN sanctions on Iran — 7 years after Trump quit Obama’s bad nuclear deal &amp; three decades after world learned abt Iran’s nuclear cheating.

Long overdue!",en,Tweet,1,19,8,23,21664,2025-09-19 21:54:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969102998816071699',"Congratulations to my friend @michaelgwaltz on his confirmation as U.S. Ambassador to the UN! 

Mike—a former Green Beret, Congressman &amp; Nat’l Security Advisor—will do a terrific job leading @USUN &amp; supporting @POTUS @realDonaldTrump’s visit to the UN General Assembly next week.",en,Tweet,4,79,15,18,37820,2025-09-19 19:15:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968755709182394616',"Today we celebrate the 78th birthday of the United States Air Force. ✈️

I’m grateful to the brave men and women who serve and defend our nation in the skies and to the families who support them. Thank you for your sacrifice and commitment to keeping America safe. https://t.co/ObdDeM5ykT",en,Tweet,1,31,2,4,1809,2025-09-18 20:15:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Js4eXWcAACCD-.jpg
'1968347339661201477',"Memphis crime has been a problem since I was a kid. That ends now. @POTUS is surging FBI, DEA, ATF, and more agencies.  

I’ve been working on combating crime in Memphis for nearly a year. 

These criminals won’t get a slap on the wrist in a county jail. Under President Trump’s order, they’ll face hard federal time, not local lockup. We’re cleaning up the streets.",en,Tweet,19,589,101,79,16412,2025-09-17 17:12:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968346473097031680/vid/avc1/1280x720/-vrDQH8zfcky5Zq6.mp4?tag=21
'1968309207788400983',"238 years ago today, 39 brave patriots signed the United States Constitution. Let us celebrate and continue to defend the freedoms our nation’s founders secured and protected in our founding document. https://t.co/G6FgGG2Mm2",en,Tweet,4,82,23,20,3300,2025-09-17 14:40:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1DWykEXwAAe1AS.jpg
