tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970561670859952173',"Donald Trump knows the Senate can’t pass a bill to fund the government without 7 Democratic votes. So why is he refusing to negotiate?

I will not be one of those 7 unless we address skyrocketing costs caused by health care cuts and tariffs.",en,Tweet,1,15,3,20,1133,2025-09-23 19:51:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970506772214407501',Peddling conspiracy theories based on no scientific evidence whatsoever puts Americans at risk.,en,Tweet,0,14,1,9,1490,2025-09-23 16:13:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970267896875270194',"On Rosh Hashanah, we wish our Jewish community in Colorado and around the globe a blessed new year. Shana Tova!",en,Tweet,0,12,2,1,1025,2025-09-23 00:24:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970228401291305321',"Welcome to Autumn, Colorado 🍁 https://t.co/FwlKScUGJ2",en,Tweet,1,18,2,0,792,2025-09-22 21:47:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1eoSaRWIAEHevG.jpg
'1970176575728505224',Shutting down clean energy projects will raise energy prices at a time when working families can’t afford Trump’s economy.,en,Tweet,2,18,7,21,2372,2025-09-22 18:21:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969820467713446064',"I’m a ‘No’ on Republicans’ continuing resolution unless they work with us to lower costs. For me, that means supporting rural hospitals, making sure Americans keep their health care, and ending Trump’s tariffs.",en,Tweet,3,283,77,384,7406,2025-09-21 18:46:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969774385486856289',"Trump’s tariffs are increasing prices and crushing small businesses. Republicans voted to kick 15 million people off their health care to pay for huge tax cuts for the ultra-wealthy.  

They’re breaking promises to lower costs and driving us into a recession.",en,Tweet,1,29,14,23,1520,2025-09-21 15:43:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969568768964903044',"Republicans have the White House. They have the House AND the Senate. You’re telling me they can’t figure out how to fund the government? 

It’s madness.",en,Tweet,1,73,15,121,2954,2025-09-21 02:06:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969437567931097401',Trump’s tariffs are taxes on working Americans.,en,Tweet,1,19,3,17,1076,2025-09-20 17:24:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969221890448277947',"RFK Jr. replaced all 17 independent CDC vaccine advisors with ideologues and now they’re restricting Americans’ access to vaccines and peddling anti-science conspiracies.

This is NOT how you make America healthy. https://t.co/kOsnMpK9A3",en,Tweet,1,24,8,10,1359,2025-09-20 03:07:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1QU3yCXEAADSmA.jpg
'1969159912170099167',"Today, Republicans voted to rubberstamp Trump’s agenda and block our effort to lower health care costs, restore coverage, and save rural hospitals.
 
If Republicans would work with us to avoid a shutdown, they’d actually help lower costs and protect health care for working Americans at the same time.",en,Tweet,0,11,2,7,1146,2025-09-19 23:01:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968811311703163115',Working families can’t afford Trump’s reckless and amoral tariff-taxes. https://t.co/I7TpRdihD1,en,Tweet,0,9,0,7,844,2025-09-18 23:56:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1KfdCMXQAARhUx.jpg,https://pbs.twimg.com/media/G1KfdCUXcAAvF2R.jpg"
'1968775837462774114',The health of our kids and communities is at risk under RFK’s leadership and his elevation of anti-science views. https://t.co/gcnMIajypR,en,Tweet,0,14,9,5,802,2025-09-18 21:35:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968775725386809344/vid/avc1/1080x1920/M9kMGGGHr4d5vthu.mp4?tag=21
