tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970573513271480724',"Our seniors contributed to our state and country for decades. They should be able to live the Good Life and enjoy their retirement. By boosting retirement income and improving customer service, we’re protecting Social Security. We’re protecting the Good Life.  It’s the right thing to do.",en,Tweet,0,10,2,8,597,2025-09-23 20:38:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970207659476365469',"Shana Tova to all those celebrating Rosh Hashanah today.

May this new year bring you happiness!",en,Tweet,0,10,2,4,713,2025-09-22 20:24:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969385476797653420',We’ve got a big one this week. GO BIG RED! Beat Michigan! https://t.co/nxnLjS17J3,en,Tweet,0,17,2,7,1048,2025-09-20 13:57:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Spp1cWkAAJy5p.jpg
'1969133351689715940',"Republicans offered Chuck Schumer a clean extension of the current bipartisan spending deal.  A clean extension would allow us the time to complete the regular appropriations process.  Instead of good faith negotiations and ensuring American servicemembers are paid, Schumer demanded over $1 trillion of partisan spending.  He demanded the elimination of the $50 billion Rural Hospital Stabilization Fund.  He also demanded the addition of a burdensome staffing rule that would close rural nursing homes.  Chuck Schumer is recklessly threatening to shut down the government unless Nebraska taxpayers foot the bill for his partisan projects.",en,Tweet,0,7,1,14,631,2025-09-19 21:15:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969103564048851294',"On my last trip to the region, I heard how interested Taiwan was in buying more of our ag products. Thanks to @POTUS, this deal is now a reality. Great to see this major win for Nebraska farmers and ranchers.",en,Tweet,0,9,3,19,1064,2025-09-19 19:17:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969092111870861792',"As expected, Iran has never been serious throughout these negotiations. The time to snapback UN sanctions is now. Encouraged to see our European allies standing firm with this decisive course of action.
https://t.co/xUbyEKVDfP",en,Tweet,0,5,2,6,566,2025-09-19 18:31:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.axios.com/2025/09/18/snapback-sanctions-iran-nuclear-macron,,
'1969058241049919758',Enjoyed speaking with the Nebraska State Coordinator of @herplanofficial. Her PLAN connects and strengthens the pro-life safety net across the country. I’m grateful for the work they do to stand up for life! https://t.co/UREEpusLFn,en,Tweet,0,3,1,3,392,2025-09-19 16:17:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1N_7bZXAAAT22Z.jpg,https://pbs.twimg.com/media/G1N_9ciWoAARH7Q.jpg"
'1969030173631856896',"Chuck Schumer is threatening to hold the federal government hostage over temporary COVID-era healthcare subsidies.  
  
Without releasing a plan or engaging in bipartisan talks, Democrats like @SenSchumer are threatening a shutdown if these subsidies are not added to our government funding bill. That is wrong! 
  
Republicans are working to responsibly fund the government.",en,Tweet,2,227,77,125,9459,2025-09-19 14:25:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968745528713248842',Happy 79th Birthday to the United States Air Force! Nebraska is proud to host Offutt Air Force Base and the many hardworking Air Force personnel that keep our country safe every day. https://t.co/xaYiCf2vk6,en,Tweet,0,12,3,1,498,2025-09-18 19:34:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JjjPgWMAEFeoK.jpg
'1968722672633725083',"Sat down with several tribal leaders of the Ponca Tribe to discuss transportation infrastructure within tribal lands. We also talked about the development of the Chief Standing Bear Cultural Center in Niobrara, Nebraska. https://t.co/mXXmtVINtH",en,Tweet,0,12,1,3,462,2025-09-18 18:03:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JOxb3WcAktJ68.jpg
'1968695673223557550',I honored the life of Charlie Kirk on the Senate floor today. I am continuing to pray for Charlie’s family and our great nation. Political violence is anti-American. It’s an attack against our very values. https://t.co/SArMZwfpSm,en,Tweet,1,20,3,12,614,2025-09-18 16:16:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968695573625643008/vid/avc1/640x360/7Ld9q_m4tN_PyEb6.mp4?tag=21
'1968662009001472423',"The OBBB included a new $6,000 tax deduction for each American 65 and over. This deduction will allow 88% of seniors to pay no income taxes on their Social Security benefits. That’s up to an estimated 265,000 Nebraska seniors. @POTUS and @SenateGOP promised to help seniors. We are keeping that promise.",en,Tweet,43,1307,266,149,74751,2025-09-18 14:02:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968661439695998977/vid/avc1/1920x1080/JEKgVJBNI4ET-_ro.mp4?tag=21
'1968407829292728628',"GO CUBS GO!

For the first time since 2020, the Cubbies are playing in the postseason! #FlyTheW",en,Tweet,0,12,4,5,1321,2025-09-17 21:12:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#FlyTheW,,,
'1968337374632665114',"Nebraska is the center of the volleyball universe! 17,675 @HuskersVB and @CreightonVB fans set a new record for largest crowd watching a volleyball match at an indoor stadium. Incredible!",en,Tweet,0,9,2,4,643,2025-09-17 16:32:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968319683834388829',"Democrats are obstructing nominations just to score political points. Without leadership, agencies underperform.  Nebraskans won’t get the service they deserve. I’m fighting to make government work.

Learn more about my work in the Senate to fix the confirmation process in my latest op-ed in the @OWHnews: https://t.co/dZQJdcjFP0",en,Tweet,0,8,3,8,513,2025-09-17 15:22:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968296741683204271',"As John Adams wrote, the United States is ‘a government of laws and not of men.’ Our Constitution has withstood the test of time. Since its signing in 1787, the U.S. Constitution has served as the enduring foundation of our democratic republic. On Constitution Day, we celebrate and give thanks for the principles it embodies, including federalism, the separation of powers, the Bill of Rights, and checks and balances among the branches of the federal government.

Happy Constitution Day!",en,Tweet,0,12,3,8,761,2025-09-17 13:51:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968041856882864363',"The OBBB supports rural health in Nebraska, investing in outcomes now and for future generations. Starting this week, states can apply for the Rural Health Transformation (RHT) program to receive part of the $50B allocated for rural health care in the OBBB. That’s 50% more through Medicaid for rural healthcare.

Nebraska partners can visit the following website to learn more: https://t.co/7ouSb4Z01g",en,Tweet,0,5,2,12,2382,2025-09-16 20:58:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
