tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970616628363563082',"During HBCU Week, we celebrate the vital role of HBCUs in educating our youth and shaping future leaders. South Carolina is proud to be home to 8 HBCUs, and I’ll continue to advocate for the resources and support they need to thrive. https://t.co/n5GWBkEWze",en,Tweet,4,83,9,9,10788,2025-09-23 23:29:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970616302520705024/vid/avc1/1080x1920/BXwbVMj54Nd3v2DK.mp4?tag=21
'1970519156261830781',".@POTUS is right. Attaching ridiculous demands to a clean CR shows the left isn’t serious about keeping the government open. Once again, they’re putting Americans last.",en,Tweet,44,5082,1469,542,85454,2025-09-23 17:02:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970263850269163913',Wishing a happy and sweet Rosh Hashanah to all those celebrating in the Palmetto State! https://t.co/NCYFXDiC1t,en,Tweet,1,281,17,29,13648,2025-09-23 00:08:02,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G1fIh6OXoAA75Nn.jpg
'1970187235027718213',Millions of Americans face mental health and substance use challenges. My Occupational Therapy Mental Health Parity Act expands access to care by empowering occupational therapists to help patients recover and thrive. https://t.co/m7ph8WYpXg,en,Tweet,2,63,14,15,9353,2025-09-22 19:03:35,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://www.scott.senate.gov/media-center/press-releases/senators-scott-hassan-introduce-bipartisan-bill-to-expand-access-to-treatment-for-mental-health-and-substance-use-disorders/,,
'1969823154924085732',"Today, Americans come together to honor the life of Charlie Kirk and the powerful legacy he leaves behind.

His vision will live on through his beloved wife, Erika, and the countless lives he inspired. As we continue to lift Charlie’s family in prayer, may they find strength in the outpouring of love and support that surrounds them.",en,Tweet,6,1160,137,82,21585,2025-09-21 18:56:52,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1969806782190014764',"The UK, Canada, and Australia’s recognition of a Palestinian state rewards Hamas for the October 7 terrorist attack. Hamas leaders are already calling the move “the fruits of October 7.”

This reckless decision appeases and emboldens terrorists around the world while doing nothing to secure the release of the remaining 48 hostages.",en,Tweet,6,244,41,57,20711,2025-09-21 17:51:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969733523914313899',"On World Alzheimer's Day, we recognize those living with Alzheimer’s and the families and caregivers who support them. Today, we raise awareness of this devastating disease and remain hopeful for bold advances in understanding its causes and ultimately, a cure. https://t.co/AtisHl5fgq",en,Tweet,1,146,22,14,13220,2025-09-21 13:00:42,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G1XmM0nW8AA0FkC.jpg
'1969371085704441881',Sweet tea lovers: Did you know South Carolina’s Summerville is the birthplace of sweet tea? Celebrating this Southern staple with true Southern hospitality sounds like a great way to enjoy the weekend and honor our traditions! #SCSweetTea https://t.co/YNfnpkvOfJ,en,Tweet,4,110,10,29,13183,2025-09-20 13:00:30,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",#SCSweetTea,"https://www.counton2.com/news/local-news/dorchester-county-news/thousands-to-attend-annual-sweet-tea-festival-in-downtown-summerville/#:~:text=Thousands%20of%20people%20are%20expected,southern%20drink%20staple%20was%20born",,
'1969355911958343776',"The best birthday gift was walking my daughter, Luci, for homecoming! Thank you all for the warm birthday wishes. https://t.co/y8Ci0faARR",en,Tweet,79,11059,488,332,353657,2025-09-20 12:00:12,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G1SOw7NXAAEG6PO.jpg
'1969176036941205745',"Our country will be dealing with the consequences of Biden’s open border policies, including the deadly fentanyl crisis, for years to come.
 
That’s why @POTUS kept his promise and took action to secure our borders on day one.
https://t.co/fmp2Jd4CTn",en,Tweet,2,194,25,31,11664,2025-09-20 00:05:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.counton2.com/news/south-carolina-news/dea-drug-crisis-escalates-in-south-carolina/,,
'1969159597861593428',"The Pregnant and Postpartum Women Treatment Reauthorization Act is headed to @POTUS’ desk! This bipartisan bill supports substance use disorder treatment for pregnant and postpartum women, a provision I’ve helped lead so every mother and child can thrive. https://t.co/jXxvZ04G6l",en,Tweet,2,97,18,13,10015,2025-09-19 23:00:08,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://www.scott.senate.gov/media-center/press-releases/bipartisan-bill-co-led-by-sen-scott-to-support-treatment-for-pregnant-and-postpartum-mothers-heads-to-presidents-desk/,,
'1969135449173062137',"Shellfish harvest season is approaching in South Carolina, and many livelihoods depend on a variety of shellfish being readily available in our nation’s waterways. I'm co-leading the QUAHOGS Act to study why shellfish populations are declining on the east coast so future generations can count on healthy populations for years to come. https://t.co/lrEXNj1IkP",en,Tweet,1,85,9,9,12957,2025-09-19 21:24:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969088581898535204',@LindseyGrahamSC Thank you! Grateful to serve South Carolina alongside such a dedicated colleague and friend.,en,Reply,0,35,4,3,2179,2025-09-19 18:17:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969057484888326501',@RepRalphNorman Thank you!,en,Reply,0,2,0,1,173,2025-09-19 16:14:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969019012760690843',@SenRickScott Thank you!,en,Reply,0,16,1,5,891,2025-09-19 13:41:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969008926906589392',"On National POW/MIA Recognition Day, we honor the brave Americans who were prisoners of war and those still missing in action. You are not forgotten, and America is forever grateful for your legacy of courage, service, and sacrifice. https://t.co/InOlqrRWEZ",en,Tweet,1,146,27,20,10769,2025-09-19 13:01:25,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G1NTLuHXoAA97kn.jpg
