tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970580139491917917',.@POTUS is exactly right. Putin only understands pure military strength and economic pain. President Trump and I believe Ukraine can win – a fact President Biden avoided saying for years. It is time to ramp up pressure on Putin to end this senseless bloodshed.,en,Tweet,40,1919,236,250,79641,2025-09-23 21:04:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968422381732442565',Happy birthday @narendramodi! Congratulations on many years of public service and global leadership. You have a lot of friends in the State of Mississippi. I look forward to continued partnership between India and the United States.,en,Tweet,0,10,4,54,2982,2025-09-17 22:10:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968063836088569996',I met with the Mississippi Bankers Association to discuss how Community Development Financial Institutions can support small businesses and create jobs for Mississippians. https://t.co/IVmNuuDPpH,en,Tweet,2,22,2,22,2781,2025-09-16 22:25:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0_3oQKWwAALlBc.jpg
'1966205130459722198',"24 years ago today, I attended a meeting in the Pentagon just before it was struck by terrorists. As Americans honor the memory of those we lost on 9/11, we must remain vigilant. We must recommit to defending the homeland against today’s threats.",en,Tweet,1,27,4,14,2563,2025-09-11 19:20:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965861045018464359',Join me in praying for Charlie Kirk. Political violence has no place in the United States.,en,Tweet,4,595,53,78,34203,2025-09-10 20:32:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965479203278864684',"I am honored to be recognized by the Speak Foundation, which has tirelessly advocated for those living with LGMD. As the chairman of the Rare Disease Caucus, I will never stop supporting new treatments, research, and clinical trials for patients facing uncommon illnesses. https://t.co/AUhP1reWDB",en,Tweet,0,9,2,11,1489,2025-09-09 19:15:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0bI6wKWcAAborM.jpg
'1963434555894898801',".@SenHydeSmith and I wholeheartedly support the confirmation of Mississippi Supreme Court Justices Maxwell and Chamberlin to the U.S. District Court. Today, we spoke at their confirmation hearing and we look forward to their swift confirmation. https://t.co/0SLBaK9aOL",en,Tweet,3,38,6,19,3067,2025-09-04 03:50:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.wicker.senate.gov/2025/9/wicker-hyde-smith-statement-on-justices-chamberlin-and-maxwell,,
'1961451297996955797',"Twenty years ago today, Hurricane Katrina made landfall in Mississippi. We all remember the flattened homes, businesses, and schools, as well as the years we devoted to recovery. We have come so far. Today, the Gulf Coast is a bustling hub of commerce, innovation, and tourism. We will continue looking forward to the bright future of our coast and state.
https://t.co/WrYhsVs0le",en,Tweet,0,22,6,32,2743,2025-08-29 16:30:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1961389658727985539',"The Taiwanese people and their resolve to live in a free society are a symbol of hope for the world. 

I’m glad to be here and to stand shoulder to shoulder with the free people of Taiwan as we work together to enhance their right to self-determination.",en,Tweet,20,535,135,98,59384,2025-08-29 12:25:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1960497274481471845',"Gayle and I had a wonderful time at the USO getting to know our service members stationed in Guam. 

Thank you to all of our men and women in uniform and to these great Mississippians who we were honored to meet! https://t.co/ztbZio1JZD",en,Tweet,0,34,3,17,3248,2025-08-27 01:19:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GzUV3tKWEAA0pvQ.jpg,https://pbs.twimg.com/media/GzUV3tQWcAAk58D.jpg"
'1960494984395940065',"The Pearl River flood control project is a prime example of how federal bureaucracy fails Americans. Under this administration, we have the opportunity to end the 45-year stalemate. 

It's time to let Jackson build. https://t.co/oiaRQ6er19",en,Tweet,0,26,6,17,2940,2025-08-27 01:10:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://thehill.com/opinion/energy-environment/5468056-trump-administration-flood-control/,,
'1959963943465578752',The Mardi Gras Service will increase tourism and job creation across Mississippi. The inaugural ride was only the beginning of what's to come for the Mississippi Gulf Coast. https://t.co/NMA2ULMsdX,en,Tweet,1,89,17,18,11299,2025-08-25 13:59:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1959963335777984513/vid/avc1/1920x1080/DpfrrfPEQxs8Gkwd.mp4?tag=21
'1959771047831449830',"Today, we celebrate Ukraine’s Independence Day. The U.S. stands with the Ukrainian people as they fight to maintain their freedom, democracy, and sovereignty.",en,Tweet,7,862,111,187,23960,2025-08-25 01:13:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1959396200010146018',"On the first day of our CODEL, @SenatorFischer and I held a productive and insightful slate of meetings with the Commanders of INDOPACOM, MARFORPAC, USARPAC, &amp; PACAF to discuss the challenges their forces face in the region. https://t.co/JxNA6taeLt",en,Tweet,1,22,3,10,3649,2025-08-24 00:23:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GzEsc_AXYAAqoX-.jpg,https://pbs.twimg.com/media/GzEsc_DWoAAx1JW.jpg,https://pbs.twimg.com/media/GzEsc-_WIAErH2o.jpg"
'1958699469362360542',Congratulations to our own Rachel McAlpin on her 50m breaststroke world junior title in her international debut! You represented Mississippi on the world stage and we are excited to see all you will accomplish in the future.,en,Tweet,1,57,4,10,5192,2025-08-22 02:15:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1957869775406678119',"President @realDonaldTrump, your advocate, Mark Levin, warns that Vladimir Putin is a ""genocidal maniac."" 

These are wise words from a good friend. Putin lies and kills. Your leadership will be key to keep Ukraine, U.S., and Europe together against Putin's delays and deceptions.",en,Tweet,31,1333,394,220,72772,2025-08-19 19:18:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1957535645670293676',"After 20 years, passenger rail has officially returned to the Mississippi Gulf Coast. All aboard!",en,Tweet,1,90,18,25,7300,2025-08-18 21:10:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1956829647322153317',What an incredible day! @Amtrak Mardi Gras rail is one of the last pieces of the puzzle to rebuild from Hurricane Katrina. All aboard! https://t.co/x3RexHU5y1,en,Tweet,7,81,13,20,7733,2025-08-16 22:25:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GygODzgXcAEqzLc.jpg,https://pbs.twimg.com/media/GygODzwW0AAL-Cr.jpg,https://pbs.twimg.com/media/GygODznWEAAYxd7.jpg,https://pbs.twimg.com/media/GygODzoWQAAVIh9.jpg"
'1956803687847690284',"The end of the Mardi Gras Service is in Mobile, Alabama. It was great to join the people of Mobile for a wonderful celebration of the Gulf Coast! https://t.co/wKkzcXFS4T",en,Tweet,1,25,3,11,2587,2025-08-16 20:42:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/Gyf2gGmWIAA_tn5.jpg,https://pbs.twimg.com/media/Gyf2gGtWIAESjI2.jpg,https://pbs.twimg.com/media/Gyf2gGrXsAArpf2.jpg"
'1956796170388246861',Pascagoula is the last Mississippi stop on the Mardi Gras rail. It's been a great day on the Amtrak train! https://t.co/Fr104IuHVR,en,Tweet,3,71,12,9,7681,2025-08-16 20:12:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GyfvvgMXQAEyABM.jpg,https://pbs.twimg.com/media/GyfvvgEXQAEJsZi.jpg,https://pbs.twimg.com/media/GyfvvgDXcAAuDxh.jpg,https://pbs.twimg.com/media/GyfvvgEXcAArHp1.jpg"
'1956755544204890354',"Thanks for having us, Biloxi! https://t.co/oTI3h7eKD0",en,Tweet,0,54,6,7,2919,2025-08-16 17:30:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GyfKyz3XkAAOjKQ.jpg,https://pbs.twimg.com/media/GyfKyzrWIAAHrEb.jpg,https://pbs.twimg.com/media/GyfKyzyWkAEU7P2.jpg"
'1956749612871561469',The Mardi Gras train was early to our stop in Gulfport! This on-time train will bring more jobs and tourists to the Gulf Coast. https://t.co/3erF3ie1bL,en,Tweet,1,35,4,7,3630,2025-08-16 17:07:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GyfFZNHWoAAZjqG.jpg,https://pbs.twimg.com/media/GyfFZNQXsAAx2Uy.jpg,https://pbs.twimg.com/media/GyfFZNOXkAAd_Ga.jpg"
'1956734024958857636',A warm welcome from Bay St. Louis to Amtrak! https://t.co/hl0NTrWkXA,en,Tweet,1,19,3,4,1576,2025-08-16 16:05:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/Gye3KyYWEAAMCGg.jpg,https://pbs.twimg.com/media/Gye3KyTXoAApH8q.jpg,https://pbs.twimg.com/amplify_video_thumb/1956733959066296320/img/Svb4JLSKD8dTbLqf.jpg"
'1956712108797661199',"The Inaugural @Amtrak Mardi Gras train ride has begun. Next stop, Mississippi! https://t.co/7xHouNWG69",en,Tweet,5,157,24,18,49748,2025-08-16 14:38:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GyejQpLXEAALR_h.jpg,https://pbs.twimg.com/media/GyejQo7XEAAaHfy.jpg,https://pbs.twimg.com/media/GyejQpLW4AAyv72.jpg"
'1953872700830540164',It was great to join Commissioner Trusty on her first official visit as @FCC commissioner! Better internet connectivity directly translates into economic success and better telehealth options. I look forward to working with Commissioner Trusty to deliver results for MS. https://t.co/zjdy5oA0wD,en,Tweet,1,19,16,17,2151,2025-08-08 18:35:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/Gx2M3U5XcAA0mWc.jpg,https://pbs.twimg.com/media/Gx2M3UxXgAELtEz.jpg"
'1953558454062473371',I spoke at the ribbon cutting of the expansion of the Solid Rocket Complex with @anduriltech. This expansion will create more jobs while building up our national defense. This expansion will strengthen our military as it prepares to meet the threats we face today. https://t.co/cnFNz7XaVa,en,Tweet,21,448,116,43,58608,2025-08-07 21:46:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GxxvDw3W4AAWkof.jpg,https://pbs.twimg.com/media/GxxvDw4XYAAVchv.jpg,https://pbs.twimg.com/media/GxxvDw4X0AAhl2B.jpg"
'1953196745736794147',I was glad to be the keynote speaker at the Gulfport Chamber of Commerce yesterday. I highlighted how the reconciliation bill cuts taxes for job creators and how the opening of the Mardi Gras Rail will grow economic development in MS. Thank you for having me! https://t.co/V3Hj7hmRi3,en,Tweet,1,20,19,17,1883,2025-08-06 21:49:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GxsmFqBXYAAPSUJ.jpg,https://pbs.twimg.com/media/GxsmFqiWwAAwdMs.jpg"
'1952835287027192147',"I joined @MGCCC in the opening of their Defense Industry Training Accelerated Courses Facility. Mississippians are stepping up to rebuild our national defense, and this program will equip them for that task. https://t.co/m7KQpnnV8Y",en,Tweet,0,28,20,13,1891,2025-08-05 21:53:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GxndVvxW0AE-kdV.jpg,https://pbs.twimg.com/media/GxndVvHWcAASBV1.jpg"
'1951025207919169693',I'm glad to see Ukraine's anti-corruption agencies will remain independent. Ukraine's fight for freedom relies on the strength of its democracy. I continue to stand with Ukraine in their fight for independence. https://t.co/bDyJqDqUCd,en,Tweet,4,249,78,94,8988,2025-07-31 22:00:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.reuters.com/world/zelenskiy-moving-defuse-crisis-restores-power-anti-graft-agencies-2025-07-31/,,
