tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970261992817475846',"Wishing all those celebrating in the Virgin Islands a happy, healthy and sweet new year. 

Shanah Tovah U'metukah! https://t.co/OoLu9mxjW3",en,Tweet,0,16,4,2,2288,2025-09-23 00:00:39,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G1fG11cXEAEWg3b.jpg
'1968268873087541434',"On this day in 1787, the United States Constitution was signed. 

In the face of unprecedented attacks on our rights and freedoms, I am committed to upholding our Constitution and defending American values. https://t.co/qRvaPTfRxp",en,Tweet,2,36,9,3,2342,2025-09-17 12:00:42,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G1CyHBtXgAA-CJr.jpg
'1967906529320878157',"Happy National Voter Registration Day! 

The right to vote is sacred and I’m committed to protecting it. 

Learn how to register to vote today at https://t.co/djdi7JT3so. https://t.co/Mnb3aowBZL",en,Tweet,1,26,16,4,2619,2025-09-16 12:00:53,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,http://vote.gov,photo,https://pbs.twimg.com/media/G09ojyXXEAAEB_J.jpg
'1967544059867591035',"Feliz Mes Nacional de la Herencia Hispana! Estamos celebrando la cultura rica y dinámica de nuestras comunidades hispanas en las Islas Virgenes y reconociendo sus valiosas contribuciones a nuestra sociedad e historia. 

Happy Hispanic Heritage Month! We are celebrating the rich and vibrant culture of our Hispanic/Latino communities across the Virgin Islands and recognizing their invaluable contributions to our history and society.",es,Tweet,0,8,5,0,2486,2025-09-15 12:00:33,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,"https://pbs.twimg.com/media/G04e5UNWAAAaiHZ.jpg,https://pbs.twimg.com/media/G04e5RwXEAAnTYC.jpg"
'1966079382998360449',"Each year on September 11th, grieving families and loved ones come together on the sacred grounds of the 9/11 Memorial plaza for a deeply moving ceremony. 

With profound love and remembrance, they honor each precious life lost by speaking aloud the names of the 2,983 beloved souls—fathers, mothers, children, brothers, sisters, friends, and colleagues—whose lives were tragically cut short on that devastating day in 2001. 

Today, we continue to stand in solemn remembrance of the thousands of innocent lives lost and honor the heroism of the first responders who answered the call to danger.",en,Tweet,1,37,9,3,2935,2025-09-11 11:00:27,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G0jqx7YX0AEHjD-.jpg
'1965369702860886023',"Suicide prevention isn’t just about helping in moments of crisis — it’s about recognizing warning signs, promoting treatment and recovery, and building robust support networks. 

Together, we can save lives. If you or a loved one need help, call or text 988. https://t.co/4upokUrTQj",en,Tweet,1,27,12,4,2049,2025-09-09 12:00:26,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G0ZlU6tXcAACfmO.jpg
'1965022414510641344',"Hope is possible through recovery from addiction. 

This National Recovery Month, I’m fighting to restore health care funding that ensures Americans can recover and live happy, healthy lives. https://t.co/yBqjszyQlN",en,Tweet,0,15,4,1,2314,2025-09-08 13:00:26,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G0UpeQWWAAAeup8.jpg
'1964678820574675226',"Today, on National Grandparents Day, we honor the wisdom, love, and strength of our grandparents who have laid the foundation for our families and our communities. 

Their sacrifices, guidance, and stories remind us of where we come from and inspire us to keep moving forward. 

To all the grandparents in the Virgin Islands and across our nation—thank you for the unconditional love you give and the legacy you continue to build.",en,Tweet,1,24,1,7,2381,2025-09-07 14:15:07,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G0Pw-bIWgAAtoSa.jpg
'1962530914879103123',"On Labor Day, we honor the achievements of American workers. 

I am proud to stand with working men and women to celebrate the progress that organized labor has made in strengthening America’s middle class and helping our nation become stronger, fairer, and more prosperous. https://t.co/dt3uEZLaen",en,Tweet,0,39,12,5,3030,2025-09-01 16:00:06,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/GzxPd1lWcAAnmBy.jpg
'1961096558658584890',"The 1963 March on Washington saw hundreds of thousands of people gather in our nation’s capital, demanding an end to segregation and discrimination. 

Today, we honor their legacy and demand a more just and equal future. https://t.co/tTsMOQBzHx",en,Tweet,1,134,59,19,3699,2025-08-28 17:00:29,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/Gzc27QAXIAAc54m.jpg
'1960371707018940542',"105 years ago, the 19th Amendment became part of the Constitution and American women could finally vote across the country. 

On Women’s Equality Day, we continue the fight for equality for women in every area of life. https://t.co/Ig6ca8YfDY",en,Tweet,1,101,24,6,2874,2025-08-26 17:00:11,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/GzSjrcuWMAAQsPf.jpg
'1953501417865375804',"On National Purple Heart Day, we honor the extraordinary valor and selfless service of America's Purple Heart recipients. 

This includes the brave veterans from the Virgin Islands who have sacrificed for our nation alongside their fellow service members from every state and territory.",en,Tweet,2,22,7,13,2017,2025-08-07 18:00:06,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/Gxw7L2cW0AACIhS.jpg
'1950512063194775582',"Medicare and Medicaid help secure a brighter, healthier future for millions of American families. 

Today, as they turn 60, we are fighting to protect and strengthen these vital lifelines. https://t.co/RwPdSU3i4I",en,Tweet,2,53,21,9,3599,2025-07-30 12:01:29,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/GxGcYp3XsAARi_g.jpg
'1949062246576890081',"On July 26, 1990, the Americans with Disabilities Act (ADA) was signed into law. 

Disability Pride Month commemorates this legislation and reaffirms the rights of people with disabilities to inclusion and respect. https://t.co/FwQhw7PWKM",en,Tweet,1,81,23,10,3120,2025-07-26 12:00:26,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/Gwx1yM0XQAEyK8t.jpg
'1946163451505557653',"Nelson Mandela was a visionary — a leader who dared to dream of a more just and inclusive world. 

On Mandela Day, we honor his contributions and legacy and look to him as an example as we continue the fight for equality. https://t.co/HCZ4HgIEry",en,Tweet,2,69,21,9,4792,2025-07-18 12:01:39,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/GwIpWGdWAAA-jtp.jpg
'1942901706259370314',"Incredibly honored to host my Sorors from the VI for a special reception in honor of Delta Sigma Theta Sorority’s 57th National Convention in Washington, D.C.! https://t.co/Jw1glqfFZd",en,Tweet,1,82,8,9,3734,2025-07-09 12:00:38,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,"https://pbs.twimg.com/media/GvaSzd6WAAAZQxE.jpg,https://pbs.twimg.com/media/GvaSzfbW0AATamp.jpg,https://pbs.twimg.com/media/GvaSzbFWIAEzETH.jpg,https://pbs.twimg.com/media/GvaSzbcXMAAxEyP.jpg"
'1941089884812292522',"Nearly two and a half centuries ago, our nation was born with a promise of liberty and justice for all. 

This Independence Day, we remember the sacrifices of those who fought for our freedoms as we seek to make that promise come true for all Americans, even while we continue to fight for equitable and equal representation as Virgin Islanders.",en,Tweet,0,30,9,9,2365,2025-07-04 12:01:06,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/GvAi9qEXQAAPdS2.jpg
'1940817456102363225',Take your time and let the American people know what Trumps GOP has planned for them,en,Tweet,1,213,55,18,8228,2025-07-03 17:58:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
