tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970485276662440279',"Thanks to House Republicans, Google admitted the Biden administration forced them into censoring content.

Good move by Google to reinstate the YouTube accounts they banned for political content.

I look forward to all the new free speech advocates on the Left celebrating this.",en,Tweet,14,1219,389,125,24404,2025-09-23 14:47:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969821954346524791',"Today, we remember Charlie Kirk.

Charlie never wavered in his faith or his love for America. His voice and conviction inspired millions.

May we honor his memory by engaging in respectful debate and standing strong in our beliefs.

God bless Charlie, his family, and his legacy.",en,Tweet,41,2756,432,105,52562,2025-09-21 18:52:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969218747773686040',".@HouseGOP passed a clean CR. Shutdown Schumer and his Democrats voted to SHUT DOWN the government and defund the military for their RADICAL agenda of free health care for illegal aliens, plus $1.5 TRILLION in new deficit spending.",en,Tweet,11,989,349,233,30524,2025-09-20 02:55:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969061567191777444',"58 Democrats voted against a resolution that honored Charlie Kirk’s life, condemned political violence, and called for respectful debate.

Disgraceful. https://t.co/P10OK5KJqh",en,Tweet,15,843,183,593,28407,2025-09-19 16:30:35,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1969061145399918592/vid/avc1/1920x1080/rFIqdxlsIYYGtGvc.mp4?tag=21
'1968782471450730807',"Charlie Kirk was a man of faith, courage, and conviction. He was an inspiration to countless people across the globe.

Tomorrow, Congress will pass a resolution honoring his life and legacy and calling on all Americans to commit to respectful debate and to uphold American values. https://t.co/NnkeHPdN4N",en,Tweet,31,3268,446,483,28223,2025-09-18 22:01:34,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1968781920021499904/vid/avc1/1920x1080/QsTcllGAen9-JeDY.mp4?tag=21
'1968752277348364398',"Far-left Democrats are trying to SHUT DOWN the government and defund our men and women in the military just in order to get taxpayer funded health care for illegals. 

They’re completely out of touch with hardworking American families who support our military and want strong border security.",en,Tweet,12,700,274,231,11888,2025-09-18 20:01:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968026112371654868',".@POTUS has made DC SAFE again:

✔️More than 2,600 arrests, including gang members &amp; suspected terrorists
✔️9 children rescued
✔️Illegal drugs, including fentanyl, taken off the streets

This week, House Republicans are building on that success with new laws to KEEP DC safe. https://t.co/T5IG0x0D4p",en,Tweet,1,222,59,57,6489,2025-09-16 19:56:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968025081155604480/vid/avc1/1920x1080/duo5gv90QqzXuD24.mp4?tag=21
'1967737539189715040',"Tonight I joined my colleagues in remembering the incredible life and legacy of Charlie Kirk. 

We will continue to honor Charlie by standing strong in our faith and never being intimidated into silence. 

God bless Charlie, his family, and his enduring legacy. https://t.co/IeLoT94Hkk",en,Tweet,7,1076,158,92,19401,2025-09-16 00:49:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G07Ovs2XUAA4cGh.jpg,https://pbs.twimg.com/media/G07O0CSWUAAwF_A.jpg,https://pbs.twimg.com/media/G07O0CNXwAAGR8H.jpg"
'1967269222922482058',"For YEARS, legacy media smeared conservatives as “fascists” and “Nazis.” That reckless rhetoric empowers extremists who answer with violence. 

The media MUST do better. https://t.co/9jDWslAZHw",en,Tweet,52,3269,747,631,44617,2025-09-14 17:48:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1967268973143052288/vid/avc1/1280x720/oGhUU4Feve49NHFn.mp4?tag=21
'1966535914441625684',"Charlie Kirk’s suspected assassin has been brought into custody thanks to the quick work of the FBI and Utah law enforcement. 

For Charlie, his family, and our nation, justice must be served swiftly.",en,Tweet,5,256,34,77,18952,2025-09-12 17:14:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
