tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1969088639041781775',"This week I had the opportunity to assemble care packages on Capitol Hill with @The_USO . These packages will provide support to 2,000 deployed military personnel and remind them how much we appreciate their service to America. https://t.co/3WFmopOt4Q",en,Tweet,0,7,2,10,499,2025-09-19 18:18:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ObnI0XoAAOKps.jpg
'1968005357021835518',"Excessive crime should not be a convention of living in a big city. It is function of years of poor governance and failed policy. House Republicans like my colleague @RepBrandonGill are leading legislation to help President Trump make DC safe again. 
https://t.co/30Pc8CqJoY",en,Tweet,1,13,5,1,1095,2025-09-16 18:33:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.dailysignal.com/2025/09/15/house-republicans-back-president-trumps-crackdown-on-dc-crime/,,
'1965882695134884268',"Political violence is meant to silence the voice and will of the people. Rest assured, anyone who has heard of Charlie Kirk, knows that the movement he inspired will never let the evil actions of a coward stop the advancement of civility, liberty, and patriotism that he helped ignite. 

Charlie was a faithful Christian and a principled patriot who often engaged with people he disagreed with in a productive and passionate way. He supported spirited, but peaceful, debate and played an important role in recruiting young voters to the conservative movement. 

Political violence was the complete opposite of what Charlie professed, yet it has become commonplace in America today. It is inspired by people who hate liberty, who despise freedom, and who will attack anyone who brings decency and time-tested values back to our culture.

As a believer, I am comforted that Charlie is now with His Creator and that he lived a life of purpose in his years spent here on earth. Our hearts and prayers need to be focused on lifting up Charlie’s beautiful family and loved ones that he leaves behind.",en,Tweet,2,36,9,12,2752,2025-09-10 21:58:53,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1965386750664245406',"I’ll be joining @MorningsMaria on @FoxBusiness in just a few minutes, discussing the work we’re doing in Congress to fund our government and more! Tune in! https://t.co/HmqciTGEVm",en,Tweet,0,5,1,0,620,2025-09-09 13:08:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0Z01VbWgAAPqhJ.jpg
'1964690128649240635',I’m joining @ChrisStirewalt on @NewsNation at the top of the hour - there’s a lot to discuss!,en,Tweet,0,1,0,3,447,2025-09-07 15:00:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1962869872003522561',"American workers are better off today than they were a year ago.

President Trump &amp; his Administration are bringing jobs back to the U.S., boosting take-home pay, incentivizing Made in America, and expanding opportunities through workforce development. 

https://t.co/fiI3i25aJT",en,Tweet,1,4,2,24,720,2025-09-02 14:27:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.foxnews.com/opinion/labor-day-celebration-how-president-trump-creating-brighter-future-american-workers,,
'1960436795268551076',"4 years ago today, 13 of our nation’s heroes were killed in the Attack at Abbey Gate. 

Biden’s disastrous withdrawal from Afghanistan allowed for the Taliban to free thousands of terrorists, including the one responsible for executing the attack. August 26, 2021 remains a great tragedy and grievous example of weak leadership. 

This past March, President Trump demonstrated his commitment to justice for these soldiers by arresting the terrorist responsible for orchestrating the attack. 

My prayers are with the families of the victims, and we honor those who lost their lives defending our freedom.",en,Tweet,0,7,7,12,976,2025-08-26 21:18:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GzTeg9MWQAAq69j.jpg
'1957925061676945740',"It was a privilege to join President Trump’s Education Secretary Linda McMahon on a tour of Broken Arrow’s Vanguard Academy. As a longtime advocate of education and workforce development, @EDSecMcMahon is committed to helping American kids succeed not only at school, but in the workforce as well. 

The Trump Administration is putting students and families first! Education should be handled at the most local level possible, DC bureaucrats should have no role in our kids’ classrooms. 

The Vanguard Academy allows high school students to learn in a hands-on environment that prepares them for a number of career paths. Thank you, Secretary McMahon for joining us in Broken Arrow today!",en,Tweet,2,107,32,15,5218,2025-08-19 22:58:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GyvydsxWAAAjvWn.jpg,https://pbs.twimg.com/media/GyvydspXgAEEeiS.jpg,https://pbs.twimg.com/media/GyvydspXgAAUbLv.jpg,https://pbs.twimg.com/media/GyvydspXQAAYVNk.jpg"
'1957909207723950514',"@EDSecMcMahon @doveschoolsok @GovStitt @BAVanguard Thank you for coming to see the great people of Oklahoma! President Trump and Secretary McMahon are ushering in a new era for our children and their education - where parents hold the power, not DC bureaucrats.",en,Reply,0,6,0,6,388,2025-08-19 21:55:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1957852046452818184',@ASCAssociation Thank you for having me!,en,Reply,0,0,0,0,33,2025-08-19 18:07:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1957820323618828477',"Let's be clear: there’s only one leader in the world that has any chance of bringing Ukraine and Russia together to end this war, and that’s President Trump.",en,Tweet,0,12,1,21,3483,2025-08-19 16:01:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1956400464360026399',Praying for peace today! God bless Donald Trump. 🙏,en,Tweet,0,10,1,10,1114,2025-08-15 17:59:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1954970157115224251',"It was just a few weeks ago that an intern for a colleague of mine was murdered while walking on the sidewalk in our nation’s Capitol. 

As the seat of our government, DC must be a place where all Americans are welcome and safe. The city government has failed, but President Trump is stepping up! Thank you for making America SAFE!",en,Tweet,0,2,1,17,725,2025-08-11 19:16:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1953909418740879531',President of PEACE!!,en,Tweet,0,8,0,8,855,2025-08-08 21:01:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1952727737845666224',Ariel Bibas and so many others should still be here today. Hamas monsters must release the rest of the hostages!,en,Tweet,3,163,28,45,14547,2025-08-05 14:45:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1952725378398642637',"@SecKennedy Thank you, Mr. Secretary! #MAHA",en,Reply,0,4,0,0,235,2025-08-05 14:36:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#MAHA,,,
'1950979945452159025',"I've always been impressed with President Trump's attention to detail. @SecKennedy is absolutely correct - our public buildings should inspire us, they should be beautiful. 

On top of the 10,000 things President Trump does every day, he also cares about making the @WhiteHouse - and all of DC! - a beautiful place that the American people can take pride in. Thank you, Mr. President!",en,Tweet,0,13,4,9,857,2025-07-31 19:00:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1950978119466094630',President of PEACE!!,en,Tweet,0,7,0,2,504,2025-07-31 18:53:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1950589520681799932',"Great point, Joe. 

Countries who hate us, but take our foreign aid (which comes from the American taxpayer), should be on notice. 

Under President Trump, the United States is no longer the world’s piggy bank.",en,Tweet,0,10,3,8,1707,2025-07-30 17:09:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1948105387615674721',"I'm encouraged by the U.S.–Indonesia Framework, which commits Indonesia to eliminate existing tariffs on intangible products, suspend digital import‑declaration requirements, recognize the secure transfer of personal data to the U.S., and support a permanent WTO moratorium on customs duties for electronic transmissions—critical steps toward dismantling digital trade barriers. 
 
By providing certainty for American tech companies and digital service providers, this agreement opens up meaningful market access for U.S. innovators and small businesses in Indonesia.",en,Tweet,0,4,1,10,604,2025-07-23 20:38:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1947432216537272651',"It’s been a year since the debate forced the fake news media and DC democrats to admit what every American with eyeballs had known for years: Biden was never fit for office. 

Every administration staffer, Democrat politician, and TV talking head who lied through their teeth about Biden’s clear decline should never be trusted on any topic of importance ever again.",en,Tweet,1,19,5,14,1535,2025-07-22 00:03:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1946472186727784790',"Ed Feulner remains one of the great heroes of conservatism. His work has strengthened and inspired the conservative movement for more than 50 years. 

I’m eternally grateful for his impact on Capitol Hill with the Republican Study Committee. Congress, and my own career in the House, would not be the same without him. 

We mourn the loss of a truly incredible American.",en,Tweet,1,39,5,11,9610,2025-07-19 08:28:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
